Summary:
Estimated Reach,260103
Impressions,320252
Tweets,100
Contributors,75

Activity:
Period,Tweets
2018-10-07 02:00 UTC,3
2018-10-07 02:05 UTC,8
2018-10-07 02:10 UTC,7
2018-10-07 02:15 UTC,13
2018-10-07 02:20 UTC,15
2018-10-07 02:25 UTC,10
2018-10-07 02:30 UTC,9
2018-10-07 02:35 UTC,6
2018-10-07 02:40 UTC,11
2018-10-07 02:45 UTC,5
2018-10-07 02:50 UTC,9
2018-10-07 02:55 UTC,2
2018-10-07 03:00 UTC,2

Tweet Types:
Type,Count
Regular,6
Replies,44
Retweets,50

Exposure:
Range,Count
0-99 Followers,60
100-999 Followers,25
1000-9999 Followers,11
10000-99999 Followers,3
100000+ Followers,1

Contributors:
Id,Screen_Name,Tweets,Mentions,Retweets,Impressions,URL
209279715,noticiasfides,1,9,5,200304,http://twitter.com/noticiasfides
52212747,LibardoBuitrago,1,0,0,42769,http://twitter.com/LibardoBuitrago
102402465,NotiBolGroup,1,8,6,19395,http://twitter.com/NotiBolGroup
237089579,Rod39SK,1,1,1,19073,http://twitter.com/Rod39SK
2330908837,CarmenEGonzale2,2,0,0,11742,http://twitter.com/CarmenEGonzale2
226614565,oscarsilvaf,5,0,0,8410,http://twitter.com/oscarsilvaf
359509980,yoshiefuruhashi,2,0,0,7896,http://twitter.com/yoshiefuruhashi
801538438642225155,pepemurotv,8,0,0,2784,http://twitter.com/pepemurotv
56239863,silggz,1,0,0,1243,http://twitter.com/silggz
2873258268,_deULTIMO,1,0,0,1024,http://twitter.com/_deULTIMO
4128686855,abadoblitas,3,2,0,697,http://twitter.com/abadoblitas
614633895,AnaMarRey,1,1,0,689,http://twitter.com/AnaMarRey
866467968225611777,Espantobreve,1,0,0,608,http://twitter.com/Espantobreve
41658374,Sysivel,1,0,0,547,http://twitter.com/Sysivel
812443577619976193,JavoTicTac,1,0,0,317,http://twitter.com/JavoTicTac
20769328,rhforno,1,0,0,286,http://twitter.com/rhforno
1577998338,SARAVIAJESSICA,1,0,0,270,http://twitter.com/SARAVIAJESSICA
314842752,MauricioBurgoa1,1,0,0,264,http://twitter.com/MauricioBurgoa1
1935420648,EdmundoPrensa,1,0,0,262,http://twitter.com/EdmundoPrensa
122152045,fredarpo,1,0,0,211,http://twitter.com/fredarpo
829865600650473474,CynthiaRLedezma,1,0,0,171,http://twitter.com/CynthiaRLedezma
2654201074,gabisita_castro,1,0,0,165,http://twitter.com/gabisita_castro
863488947476979712,ROCO96548510,1,0,0,132,http://twitter.com/ROCO96548510
2967730797,IsaAranibar,1,0,0,116,http://twitter.com/IsaAranibar
844419030,Carfabe,1,0,0,104,http://twitter.com/Carfabe
1017561445679104001,Guiller45544284,1,0,0,103,http://twitter.com/Guiller45544284
979096806134091779,FriOruro,2,1,0,102,http://twitter.com/FriOruro
930666222336823297,luzbelMARIA1,1,0,0,89,http://twitter.com/luzbelMARIA1
833699067695874049,ChanelColque,2,0,0,86,http://twitter.com/ChanelColque
1071310123,tavitosalamanca,2,0,0,84,http://twitter.com/tavitosalamanca
962273915539247105,AdrinCol,1,0,0,74,http://twitter.com/AdrinCol
958182326315421696,OlgaIbaez11,1,0,0,61,http://twitter.com/OlgaIbaez11
301740229,KarlaTaboada7,1,0,0,33,http://twitter.com/KarlaTaboada7
1001640354418917376,PCartamenez,1,0,0,26,http://twitter.com/PCartamenez
3098223749,braulio_riveros,1,0,0,17,http://twitter.com/braulio_riveros
419181529,mvillca2,1,0,0,16,http://twitter.com/mvillca2
800181406169075712,Iveth52852491,1,0,0,15,http://twitter.com/Iveth52852491
951880514637574149,fra68774979,2,0,0,10,http://twitter.com/fra68774979
926854988537782273,GusejasGustavo,1,0,0,9,http://twitter.com/GusejasGustavo
399802125,Danicobeni,1,0,0,8,http://twitter.com/Danicobeni
401532478,El_LibertadorBo,3,0,0,3,http://twitter.com/El_LibertadorBo
1048763036050378752,frejim2,2,0,0,2,http://twitter.com/frejim2
2887205081,EduardoERocaD,2,3,2,2,http://twitter.com/EduardoERocaD
964277818757611525,leonard_lazo,2,0,0,2,http://twitter.com/leonard_lazo
916278098064224256,Carolin33373342,2,0,0,2,http://twitter.com/Carolin33373342
2986621918,plaza_raugusto,1,0,0,1,http://twitter.com/plaza_raugusto
288378773,franco_grandi,1,2,2,1,http://twitter.com/franco_grandi
453143378,lcaosbo,1,0,0,1,http://twitter.com/lcaosbo
2515429818,ALITA_CCA,1,0,0,1,http://twitter.com/ALITA_CCA
1046398794940764161,PABLO83734389,1,0,0,1,http://twitter.com/PABLO83734389
852175081841319940,NatachaBarahon1,1,0,0,1,http://twitter.com/NatachaBarahon1
2780087463,JGOatCOCHA,1,0,0,1,http://twitter.com/JGOatCOCHA
1037771423643848705,BOjotas,1,0,0,1,http://twitter.com/BOjotas
814297612119580672,AmbHerrera,1,0,0,1,http://twitter.com/AmbHerrera
269803900,ssanchezarmaza,1,0,0,1,http://twitter.com/ssanchezarmaza
3906480136,dijhey9,1,0,0,1,http://twitter.com/dijhey9
959219015452250112,Yesica44530841,1,0,0,1,http://twitter.com/Yesica44530841
446694595,tupocona,1,0,0,1,http://twitter.com/tupocona
384969235,LeonidasLaura,1,0,0,1,http://twitter.com/LeonidasLaura
4240320209,drigo8793,1,1,0,1,http://twitter.com/drigo8793
187366108,Lester_st,1,0,0,1,http://twitter.com/Lester_st
56561765,D_jos91,1,0,0,1,http://twitter.com/D_jos91
2824767237,RobertoTrill,1,0,0,1,http://twitter.com/RobertoTrill
927400610936315904,JuanK_say,1,0,0,1,http://twitter.com/JuanK_say
241680826,carloselmagno,1,0,0,1,http://twitter.com/carloselmagno
89828065,javiyus,1,0,0,1,http://twitter.com/javiyus
964687182194671616,animati_jvargas,1,0,0,1,http://twitter.com/animati_jvargas
346569005,DarioOnim,1,0,0,1,http://twitter.com/DarioOnim
295773386,Pichicateru,1,0,0,1,http://twitter.com/Pichicateru
4925658334,Chasqui_OG,1,0,0,1,http://twitter.com/Chasqui_OG
2287196914,fvtibalt,1,0,0,1,http://twitter.com/fvtibalt
938467084534730752,fmvsaogato,1,0,0,1,http://twitter.com/fmvsaogato
1713602654,rohan_boylove,1,0,0,1,http://twitter.com/rohan_boylove
1013605910,Gabrirey7Rojas,1,0,0,1,http://twitter.com/Gabrirey7Rojas
