palabra,conteo_df
2019,8
21f,6
abadoblitas,11
amilcarbarral,6
anf,17
atbdigital,6
años,16
bolivia,34
ca,8
candidato,42
candidatura,19
carlos,25
carlosdmesag,266
choqueyapu,8
ciudadanos,21
co,126
confirma,9
cree,6
decisión,8
democracia,9
democratasbo,14
discurso,6
elecciones,7
evo,15
evoespueblo,17
fallo,6
fri,18
fulnnsskp5,21
futuro,7
generacional,6
gobierno,32
historia,14
https,129
jaimepazzamora,18
katuarkonada,12
mesa,42
monolargavista,9
morales,10
necesita,8
nlagunaq,11
normapierola,7
notibolgroup,17
noticiasfides,28
país,9
pensardiferente,7
pepepomacusi,8
política,6
políticos,8
prefiero,8
presidencia,15
presidencial,6
presidente,22
querido,6
renovación,7
respuesta,24
rt,149
río,8
sdoriamedina,11
señor,6
solparabolivia,11
sumaj_warmi,10
tipo,6
tirarme,8
ud,8
valeqinaya,9
vía,21
youtube,60
